source_x,source_y,reference_x,reference_y,confidence,residual_px,inlier
72.0000,187.0000,93.5873,189.7507,0.8508,0.9355,1
80.0000,187.0000,100.9604,190.1068,0.9801,0.9103,1
88.0000,187.0000,109.2549,189.3084,0.9142,0.3874,1
96.0000,187.0000,117.4879,189.6124,0.9579,0.7016,1
104.0000,187.0000,125.0882,189.7483,0.9678,0.5257,1
48.0000,195.0000,69.6880,197.2434,0.8649,0.9068,1
56.0000,195.0000,76.8020,197.6719,0.9669,0.5231,1
64.0000,195.0000,85.1502,197.1202,0.9007,0.3292,1
72.0000,195.0000,92.9016,197.1119,0.9683,0.0921,1
80.0000,195.0000,101.4631,197.8786,0.9695,0.9085,1
88.0000,195.0000,109.0226,197.7119,0.9551,0.5167,1
96.0000,195.0000,117.4231,198.1028,0.9291,1.0173,1
104.0000,195.0000,125.2828,197.7151,0.7749,0.5939,1
48.0000,203.0000,69.1030,205.4112,0.8481,0.4226,1
56.0000,203.0000,77.7418,205.8624,0.8444,1.1784,1
80.0000,203.0000,101.1996,205.2560,0.7574,0.3442,1
88.0000,203.0000,108.8331,206.0064,0.9817,0.7951,1
96.0000,203.0000,117.0464,205.2496,0.8474,0.1511,1
80.0000,211.0000,100.7908,214.0379,0.9009,0.8479,1
88.0000,211.0000,108.7259,213.4157,0.7099,0.2568,1
104.0000,211.0000,125.4391,213.9533,0.9343,0.8826,1
56.0000,219.0000,77.0592,220.8683,0.5882,0.3703,1
80.0000,219.0000,101.3679,221.6301,0.9317,0.6713,1
88.0000,219.0000,108.8895,221.6899,0.9692,0.4835,1
96.0000,219.0000,117.0734,221.8988,0.9587,0.6982,1
104.0000,219.0000,124.8550,221.1703,0.9844,0.0922,1
48.0000,227.0000,68.6162,228.6787,0.5205,0.4739,1
56.0000,227.0000,77.1581,229.2144,0.8683,0.3592,1
80.0000,227.0000,100.7678,229.8424,0.9795,0.6624,1
88.0000,227.0000,108.7853,229.0481,0.9812,0.1817,1
96.0000,227.0000,117.1274,230.0053,0.9781,0.8181,1
104.0000,227.0000,125.0458,229.8965,0.9876,0.6724,1
32.0000,235.0000,52.6077,236.7254,0.7869,0.3865,1
64.0000,235.0000,84.4839,237.1234,0.7333,0.3430,1
80.0000,235.0000,101.4105,237.6915,0.9396,0.7476,1
88.0000,235.0000,108.9395,237.9454,0.8778,0.7475,1
96.0000,235.0000,116.7355,237.5342,0.7921,0.3564,1
104.0000,235.0000,125.0784,237.9139,0.9903,0.6993,1
171.0000,147.0000,192.0679,149.3636,0.8201,0.0442,1
179.0000,147.0000,199.3410,149.6781,0.8070,0.7829,1
187.0000,147.0000,207.8598,149.1936,0.9455,0.3446,1
195.0000,147.0000,216.6911,149.0738,0.9124,0.6902,1
203.0000,147.0000,224.1993,149.5227,0.9365,0.0797,1
211.0000,147.0000,232.2920,149.8671,0.9941,0.4004,1
219.0000,147.0000,239.7534,149.0389,0.9912,0.6286,1
227.0000,147.0000,247.6182,149.8312,0.9959,0.6487,1
235.0000,147.0000,255.7033,150.0043,0.9727,0.6848,1
147.0000,155.0000,168.6412,157.3305,0.6884,0.6318,1
155.0000,155.0000,176.7041,157.4432,0.8533,0.6801,1
163.0000,155.0000,185.0062,157.6415,0.7729,0.9933,1
171.0000,155.0000,192.2657,157.6434,0.9253,0.3127,1
179.0000,155.0000,199.8231,157.8714,0.9341,0.5192,1
187.0000,155.0000,208.2091,157.9511,0.9586,0.5246,1
195.0000,155.0000,216.4259,157.6864,0.9287,0.3853,1
203.0000,155.0000,224.1773,157.5701,0.9579,0.1069,1
211.0000,155.0000,232.5490,157.5093,0.9938,0.3954,1
219.0000,155.0000,239.8840,157.3514,0.9923,0.3265,1
227.0000,155.0000,248.1968,157.0521,0.9965,0.4695,1
235.0000,155.0000,255.7630,157.4233,0.9830,0.4599,1
147.0000,163.0000,168.4821,166.0749,0.9688,0.8639,1
155.0000,163.0000,176.9900,165.8723,0.9678,1.0860,1
163.0000,163.0000,185.0512,165.5480,0.9737,1.0182,1
171.0000,163.0000,191.5553,165.8037,0.9384,0.6487,1
179.0000,163.0000,200.1430,165.3704,0.9683,0.0772,1
187.0000,163.0000,208.7717,166.0172,0.9829,0.8887,1
195.0000,163.0000,216.3231,165.5015,0.9444,0.2107,1
203.0000,163.0000,223.9698,166.0029,0.8134,0.5599,1
211.0000,163.0000,232.2494,166.0826,0.9819,0.6051,1
219.0000,163.0000,239.5285,165.2436,0.9875,0.6939,1
227.0000,163.0000,247.6950,165.8722,0.9909,0.6088,1
235.0000,163.0000,255.4781,165.7254,0.9977,0.7548,1
147.0000,171.0000,168.4612,173.5631,0.9055,0.4994,1
155.0000,171.0000,175.9453,173.4291,0.9690,0.1050,1
163.0000,171.0000,183.9356,173.8187,0.8213,0.4508,1
171.0000,171.0000,192.7493,173.7351,0.7908,0.7630,1
179.0000,171.0000,199.4446,173.5337,0.9486,0.6489,1
187.0000,171.0000,208.3425,173.4464,0.7863,0.2423,1
195.0000,171.0000,216.5306,173.3768,0.8719,0.4181,1
203.0000,171.0000,223.9151,173.7551,0.9396,0.3648,1
211.0000,171.0000,232.2158,173.3111,0.9891,0.1815,1
219.0000,171.0000,240.0146,173.6994,0.9931,0.2556,1
227.0000,171.0000,247.3838,173.8368,0.9910,0.8687,1
235.0000,171.0000,256.3261,173.3246,0.9840,0.2383,1
147.0000,179.0000,168.3854,182.1439,0.9609,0.8823,1
155.0000,179.0000,175.8097,181.7658,0.9836,0.4595,1
163.0000,179.0000,184.5207,181.0768,0.9622,0.5618,1
171.0000,179.0000,192.1846,181.7390,0.8678,0.3639,1
179.0000,179.0000,199.9459,181.6922,0.9437,0.3119,1
187.0000,179.0000,208.7569,181.5992,0.9434,0.6778,1
195.0000,179.0000,215.9861,181.5478,0.9579,0.1677,1
203.0000,179.0000,223.7265,181.3117,0.9964,0.4373,1
211.0000,179.0000,231.8417,181.3263,0.9921,0.3486,1
219.0000,179.0000,240.0351,181.7345,0.9960,0.2759,1
227.0000,179.0000,248.0063,181.8738,0.9780,0.4060,1
235.0000,179.0000,256.6906,181.3855,0.9962,0.5023,1
147.0000,187.0000,168.5499,189.3806,0.9566,0.5402,1
155.0000,187.0000,176.3123,189.6793,0.9050,0.4277,1
163.0000,187.0000,184.3021,189.0656,0.9092,0.4013,1
171.0000,187.0000,192.1744,189.3110,0.7278,0.1361,1
179.0000,187.0000,200.2546,189.0973,0.5851,0.3557,1
187.0000,187.0000,207.9244,189.3998,0.8996,0.1788,1
195.0000,187.0000,215.9348,190.0628,0.9871,0.6473,1
203.0000,187.0000,223.8795,189.8942,0.9935,0.5058,1
211.0000,187.0000,231.7439,190.1223,0.9967,0.7663,1
219.0000,187.0000,240.3493,189.3533,0.9564,0.2242,1
227.0000,187.0000,248.1135,188.9413,0.9807,0.5733,1
235.0000,187.0000,256.3737,189.0696,0.9719,0.4850,1
155.0000,195.0000,176.8409,197.2837,0.7434,0.8147,1
163.0000,195.0000,183.3976,196.9498,0.7182,0.7753,1
171.0000,195.0000,192.6314,197.1294,0.6912,0.6226,1
187.0000,195.0000,208.7968,197.9942,0.9666,0.9000,1
195.0000,195.0000,216.7170,198.0717,0.9939,0.8699,1
203.0000,195.0000,224.7334,197.6645,0.9947,0.6311,1
211.0000,195.0000,232.5233,197.0580,0.9895,0.5541,1
219.0000,195.0000,240.4948,197.3758,0.9965,0.3405,1
227.0000,195.0000,248.3016,197.3036,0.9916,0.2304,1
235.0000,195.0000,256.6133,197.3288,0.9891,0.4476,1
155.0000,203.0000,176.0589,205.8449,0.6158,0.4932,1
163.0000,203.0000,184.0305,206.1362,0.9399,0.7670,1
171.0000,203.0000,191.9696,206.0525,0.8320,0.6733,1
179.0000,203.0000,200.7914,205.5267,0.8540,0.7182,1
187.0000,203.0000,208.8266,205.7814,0.9397,0.8099,1
195.0000,203.0000,216.2670,205.4381,0.9903,0.1470,1
203.0000,203.0000,225.0224,205.7676,0.9839,0.9387,1
211.0000,203.0000,233.0696,206.0221,0.9680,1.0675,1
219.0000,203.0000,240.6670,205.1949,0.9964,0.5726,1
227.0000,203.0000,248.0577,205.4084,0.8739,0.1645,1
235.0000,203.0000,256.0671,204.9880,0.6588,0.5508,1
147.0000,211.0000,167.7191,214.2094,0.8593,0.9243,1
155.0000,211.0000,176.1777,213.8278,0.9547,0.5005,1
163.0000,211.0000,184.5335,213.4714,0.9468,0.4966,1
171.0000,211.0000,192.0002,213.3565,0.9605,0.0711,1
179.0000,211.0000,200.0224,213.4820,0.9853,0.1030,1
187.0000,211.0000,208.9358,213.1779,0.9397,0.8670,1
195.0000,211.0000,216.9602,213.6760,0.9335,0.8742,1
203.0000,211.0000,225.0018,213.3917,0.9077,0.8654,1
